PathwayStep1	BiochemicalReaction1	
PathwayStep10	TemplateReaction6	
PathwayStep10	TemplateReactionRegulation7	
PathwayStep11	BiochemicalReaction5	
PathwayStep11	Control3	
PathwayStep11	Control4	
PathwayStep11	Control5	
PathwayStep12	TemplateReaction7	
PathwayStep12	TemplateReactionRegulation8	
PathwayStep12	TemplateReactionRegulation9	
PathwayStep13	TemplateReaction8	
PathwayStep13	TemplateReactionRegulation10	
PathwayStep14	TemplateReaction9	
PathwayStep14	TemplateReactionRegulation11	
PathwayStep15	TemplateReaction10	
PathwayStep15	TemplateReactionRegulation12	
PathwayStep16	TemplateReaction11	
PathwayStep16	TemplateReactionRegulation13	
PathwayStep17	TemplateReaction12	
PathwayStep17	TemplateReactionRegulation14	
PathwayStep17	TemplateReactionRegulation15	
PathwayStep18	TemplateReaction13	
PathwayStep18	TemplateReactionRegulation16	
PathwayStep18	TemplateReactionRegulation17	
PathwayStep19	TemplateReaction14	
PathwayStep19	TemplateReactionRegulation18	
PathwayStep2	BiochemicalReaction2	
PathwayStep20	TemplateReaction15	
PathwayStep20	TemplateReactionRegulation19	
PathwayStep20	TemplateReactionRegulation20	
PathwayStep20	TemplateReactionRegulation21	
PathwayStep21	TemplateReaction16	
PathwayStep21	TemplateReactionRegulation22	
PathwayStep22	TemplateReaction17	
PathwayStep22	TemplateReactionRegulation23	
PathwayStep23	TemplateReaction18	
PathwayStep23	TemplateReactionRegulation24	
PathwayStep24	TemplateReaction19	
PathwayStep24	TemplateReactionRegulation25	
PathwayStep25	TemplateReaction20	
PathwayStep25	TemplateReactionRegulation26	
PathwayStep26	TemplateReaction21	
PathwayStep26	TemplateReactionRegulation27	
PathwayStep27	TemplateReaction22	
PathwayStep27	TemplateReactionRegulation28	
PathwayStep28	BiochemicalReaction6	
PathwayStep28	Control6	
PathwayStep28	Control7	
PathwayStep29	TemplateReaction23	
PathwayStep29	TemplateReactionRegulation29	
PathwayStep3	BiochemicalReaction3	
PathwayStep30	TemplateReaction24	
PathwayStep30	TemplateReactionRegulation30	
PathwayStep31	TemplateReaction25	
PathwayStep31	TemplateReactionRegulation31	
PathwayStep32	BiochemicalReaction7	
PathwayStep32	Control8	
PathwayStep32	Control9	
PathwayStep33	TemplateReaction26	
PathwayStep33	TemplateReactionRegulation32	
PathwayStep34	TemplateReaction27	
PathwayStep34	TemplateReactionRegulation33	
PathwayStep35	TemplateReaction28	
PathwayStep35	TemplateReactionRegulation34	
PathwayStep35	TemplateReactionRegulation35	
PathwayStep35	TemplateReactionRegulation36	
PathwayStep36	TemplateReaction29	
PathwayStep36	TemplateReactionRegulation37	
PathwayStep37	TemplateReaction30	
PathwayStep37	TemplateReactionRegulation38	
PathwayStep38	TemplateReaction31	
PathwayStep38	TemplateReactionRegulation39	
PathwayStep38	TemplateReactionRegulation40	
PathwayStep39	TemplateReaction32	
PathwayStep39	TemplateReactionRegulation41	
PathwayStep4	BiochemicalReaction4	
PathwayStep4	Control1	
PathwayStep4	Control2	
PathwayStep40	TemplateReaction33	
PathwayStep40	TemplateReactionRegulation42	
PathwayStep41	TemplateReaction34	
PathwayStep41	TemplateReactionRegulation43	
PathwayStep42	TemplateReaction35	
PathwayStep42	TemplateReactionRegulation44	
PathwayStep43	TemplateReaction36	
PathwayStep43	TemplateReactionRegulation45	
PathwayStep44	TemplateReaction37	
PathwayStep44	TemplateReactionRegulation46	
PathwayStep45	TemplateReaction38	
PathwayStep45	TemplateReactionRegulation47	
PathwayStep46	Pathway2	
PathwayStep5	TemplateReaction1	
PathwayStep5	TemplateReactionRegulation1	
PathwayStep6	TemplateReaction2	
PathwayStep6	TemplateReactionRegulation2	
PathwayStep7	TemplateReaction3	
PathwayStep7	TemplateReactionRegulation3	
PathwayStep8	TemplateReaction4	
PathwayStep8	TemplateReactionRegulation4	
PathwayStep9	TemplateReaction5	
PathwayStep9	TemplateReactionRegulation5	
PathwayStep9	TemplateReactionRegulation6	
