Complex32	unfolded protein:(GlcNAc)2 (Man)8c	Golgi lumen	Reactome DB_ID: 948006	PhysicalEntity9	
Complex33	LMAN1:MCFD2	ER to Golgi transport vesicle membrane	Reactome DB_ID: 1017219	Protein59	
Complex33	LMAN1:MCFD2	ER to Golgi transport vesicle membrane	Reactome DB_ID: 1017219	Protein60	
Complex34	Sar1b:GDP Complex	cytosol	Reactome DB_ID: 203989	Protein61	
Complex34	Sar1b:GDP Complex	cytosol	Reactome DB_ID: 203989	SmallMolecule38	
Complex35	Sar1b:GTP Complex	endoplasmic reticulum membrane	Reactome DB_ID: 204003	SmallMolecule26	
Complex35	Sar1b:GTP Complex	endoplasmic reticulum membrane	Reactome DB_ID: 204003	Protein62	
Complex36	Sec23p:Sec24p Complex	cytosol	Reactome DB_ID: 203975	Protein64	
Complex36	Sec23p:Sec24p Complex	cytosol	Reactome DB_ID: 203975	Protein69	
Complex37	Sar1b:GTP:Sec23p:Sec24p	endoplasmic reticulum membrane	Reactome DB_ID: 203997	Complex35	
Complex37	Sar1b:GTP:Sec23p:Sec24p	endoplasmic reticulum membrane	Reactome DB_ID: 203997	Complex38	
Complex38	Sec23p:Sec24p Complex	endoplasmic reticulum membrane	Reactome DB_ID: 204007	Protein70	
Complex38	Sec23p:Sec24p Complex	endoplasmic reticulum membrane	Reactome DB_ID: 204007	Protein71	
Complex39	Sar1b:GTP:Sec23p:Sec24p:Sec13p:Sec31p Complex	endoplasmic reticulum membrane	Reactome DB_ID: 203999	Complex40	
Complex39	Sar1b:GTP:Sec23p:Sec24p:Sec13p:Sec31p Complex	endoplasmic reticulum membrane	Reactome DB_ID: 203999	Complex37	
Complex4	2xUAP1	cytosol	Reactome DB_ID: 3558426	Protein9	
Complex40	Sec13p:Sec31p Complex	endoplasmic reticulum membrane	Reactome DB_ID: 203993	Protein78	
Complex40	Sec13p:Sec31p Complex	endoplasmic reticulum membrane	Reactome DB_ID: 203993	Protein79	
Complex41	Sar1b:Sec23p:Sec24p:Sec13p:Sec31p Complex	ER to Golgi transport vesicle membrane	Reactome DB_ID: 204019	Complex42	
Complex41	Sar1b:Sec23p:Sec24p:Sec13p:Sec31p Complex	ER to Golgi transport vesicle membrane	Reactome DB_ID: 204019	Protein86	
Complex41	Sar1b:Sec23p:Sec24p:Sec13p:Sec31p Complex	ER to Golgi transport vesicle membrane	Reactome DB_ID: 204019	Complex43	
Complex42	Sec23p:Sec24p Complex	ER to Golgi transport vesicle membrane	Reactome DB_ID: 204023	Protein80	
Complex42	Sec23p:Sec24p Complex	ER to Golgi transport vesicle membrane	Reactome DB_ID: 204023	Protein85	
Complex43	Sec13p:Sec31p Complex	ER to Golgi transport vesicle membrane	Reactome DB_ID: 204015	Protein87	
Complex43	Sec13p:Sec31p Complex	ER to Golgi transport vesicle membrane	Reactome DB_ID: 204015	Protein88	
Complex45	MAN2A1:Zn2+	Golgi membrane	Reactome DB_ID: 975820	SmallMolecule86	
Complex45	MAN2A1:Zn2+	Golgi membrane	Reactome DB_ID: 975820	Protein96	
Complex46	MAN2A2:Zn2+	Golgi membrane	Reactome DB_ID: 975818	SmallMolecule86	
Complex46	MAN2A2:Zn2+	Golgi membrane	Reactome DB_ID: 975818	Protein97	
Complex48	B4GALT1 homodimer	Golgi membrane	Reactome DB_ID: 975900	Protein105	
Complex49	B4GALT2 homodimer	Golgi membrane	Reactome DB_ID: 975923	Protein106	
Complex5	DPM1,2,3	endoplasmic reticulum membrane	Reactome DB_ID: 162692	Protein17	
Complex5	DPM1,2,3	endoplasmic reticulum membrane	Reactome DB_ID: 162692	Protein18	
Complex5	DPM1,2,3	endoplasmic reticulum membrane	Reactome DB_ID: 162692	Protein19	
Complex50	B4GALT3 homodimer	Golgi membrane	Reactome DB_ID: 975924	Protein107	
Complex51	B4GALT4 homodimer	Golgi membrane	Reactome DB_ID: 975909	Protein108	
Complex52	B4GALT5 homodimer	Golgi membrane	Reactome DB_ID: 1015827	Protein109	
Complex53	B4GALT6 homodimer	Golgi membrane	Reactome DB_ID: 1015817	Protein110	
Complex6	unfolded protein:(Glc)3 (GlcNAc)2 (Man)9 (Asn)1	endoplasmic reticulum lumen	Reactome DB_ID: 532534	SmallMolecule51	
Complex6	unfolded protein:(Glc)3 (GlcNAc)2 (Man)9 (Asn)1	endoplasmic reticulum lumen	Reactome DB_ID: 532534	PhysicalEntity1	
Complex7	OST complex	endoplasmic reticulum membrane	Reactome DB_ID: 532516	Protein37	
Complex7	OST complex	endoplasmic reticulum membrane	Reactome DB_ID: 532516	Protein38	
Complex7	OST complex	endoplasmic reticulum membrane	Reactome DB_ID: 532516	Protein39	
Complex7	OST complex	endoplasmic reticulum membrane	Reactome DB_ID: 532516	Protein40	
Complex7	OST complex	endoplasmic reticulum membrane	Reactome DB_ID: 532516	Protein41	
Complex7	OST complex	endoplasmic reticulum membrane	Reactome DB_ID: 532516	Protein42	
Complex8	unfolded protein:(Glc)2 (GlcNAc)2 (Man)9 (Asn)1	endoplasmic reticulum lumen	Reactome DB_ID: 532669	PhysicalEntity1	
Complex8	unfolded protein:(Glc)2 (GlcNAc)2 (Man)9 (Asn)1	endoplasmic reticulum lumen	Reactome DB_ID: 532669	SmallMolecule53	
Complex9	unfolded protein:(Glc)2 (GlcNAc)2 (Man)9 (Asn)1:malectin	endoplasmic reticulum lumen	Reactome DB_ID: 901051	PhysicalEntity1	
Complex9	unfolded protein:(Glc)2 (GlcNAc)2 (Man)9 (Asn)1:malectin	endoplasmic reticulum lumen	Reactome DB_ID: 901051	Protein44	
Complex9	unfolded protein:(Glc)2 (GlcNAc)2 (Man)9 (Asn)1:malectin	endoplasmic reticulum lumen	Reactome DB_ID: 901051	SmallMolecule53	
