PhysicalEntity1	rDNA Promoter	nucleoplasm	Reactome DB_ID: 73682	NA	
PhysicalEntity2	dsDNA with 5-mC	nucleoplasm	Reactome DB_ID: 212172	NA	
PhysicalEntity3	Sal Box	nucleoplasm	Reactome DB_ID: 74975	NA	
Protein2	Histone H3	nucleoplasm	Reactome DB_ID: 212293	Protein3	
Protein2	Histone H3	nucleoplasm	Reactome DB_ID: 212293	Protein4	
Protein2	Histone H3	nucleoplasm	Reactome DB_ID: 212293	Protein5	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein22	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein23	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein24	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein25	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein26	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein27	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein28	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein29	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein30	
Protein38	PCAF	nucleoplasm	Reactome DB_ID: 350078	Protein39	
Protein38	PCAF	nucleoplasm	Reactome DB_ID: 350078	Protein40	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein7	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein8	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein9	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein10	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein11	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein12	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein13	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein14	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein15	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein16	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein17	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein18	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein19	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein20	
