Catalysis1	Complex3	BiochemicalReaction3	ACTIVATION	
Catalysis2	Complex5	BiochemicalReaction5	ACTIVATION	
TemplateReactionRegulation1	Protein5	TemplateReaction1	ACTIVATION	
TemplateReactionRegulation10	Protein5	TemplateReaction10	ACTIVATION	
TemplateReactionRegulation11	Protein5	TemplateReaction11	ACTIVATION	
TemplateReactionRegulation12	Protein5	TemplateReaction12	ACTIVATION	
TemplateReactionRegulation13	Protein5	TemplateReaction13	ACTIVATION	
TemplateReactionRegulation14	Protein5	TemplateReaction14	ACTIVATION	
TemplateReactionRegulation15	Protein5	TemplateReaction15	ACTIVATION	
TemplateReactionRegulation16	Protein5	TemplateReaction16	ACTIVATION	
TemplateReactionRegulation17	Protein5	TemplateReaction17	ACTIVATION	
TemplateReactionRegulation18	Protein5	TemplateReaction18	ACTIVATION	
TemplateReactionRegulation19	Protein5	TemplateReaction19	ACTIVATION	
TemplateReactionRegulation2	Protein5	TemplateReaction2	ACTIVATION	
TemplateReactionRegulation20	Protein5	TemplateReaction20	ACTIVATION	
TemplateReactionRegulation21	Protein5	TemplateReaction21	ACTIVATION	
TemplateReactionRegulation22	Protein5	TemplateReaction22	ACTIVATION	
TemplateReactionRegulation23	Protein5	TemplateReaction23	ACTIVATION	
TemplateReactionRegulation24	Protein5	TemplateReaction24	ACTIVATION	
TemplateReactionRegulation25	Protein5	TemplateReaction25	ACTIVATION	
TemplateReactionRegulation26	Protein5	TemplateReaction26	ACTIVATION	
TemplateReactionRegulation27	Protein5	TemplateReaction27	ACTIVATION	
TemplateReactionRegulation28	Protein5	TemplateReaction28	ACTIVATION	
TemplateReactionRegulation29	Protein5	TemplateReaction29	ACTIVATION	
TemplateReactionRegulation3	Protein5	TemplateReaction3	ACTIVATION	
TemplateReactionRegulation30	Protein5	TemplateReaction30	ACTIVATION	
TemplateReactionRegulation31	Protein5	TemplateReaction31	ACTIVATION	
TemplateReactionRegulation32	Protein5	TemplateReaction32	ACTIVATION	
TemplateReactionRegulation33	Protein5	TemplateReaction33	ACTIVATION	
TemplateReactionRegulation34	Protein5	TemplateReaction34	ACTIVATION	
TemplateReactionRegulation35	Protein5	TemplateReaction35	ACTIVATION	
TemplateReactionRegulation36	Protein5	TemplateReaction36	ACTIVATION	
TemplateReactionRegulation37	Protein5	TemplateReaction37	ACTIVATION	
TemplateReactionRegulation38	Protein5	TemplateReaction38	ACTIVATION	
TemplateReactionRegulation39	Protein5	TemplateReaction39	ACTIVATION	
TemplateReactionRegulation4	Protein5	TemplateReaction4	ACTIVATION	
TemplateReactionRegulation40	Protein5	TemplateReaction40	ACTIVATION	
TemplateReactionRegulation41	Protein5	TemplateReaction41	ACTIVATION	
TemplateReactionRegulation42	Protein5	TemplateReaction42	ACTIVATION	
TemplateReactionRegulation43	Protein5	TemplateReaction43	ACTIVATION	
TemplateReactionRegulation44	Protein5	TemplateReaction44	ACTIVATION	
TemplateReactionRegulation45	Protein5	TemplateReaction45	ACTIVATION	
TemplateReactionRegulation5	Protein5	TemplateReaction5	ACTIVATION	
TemplateReactionRegulation6	Protein5	TemplateReaction6	ACTIVATION	
TemplateReactionRegulation7	Protein5	TemplateReaction7	ACTIVATION	
TemplateReactionRegulation8	Protein5	TemplateReaction8	ACTIVATION	
TemplateReactionRegulation9	Protein5	TemplateReaction9	ACTIVATION	
