Complex1	TP53 Tetramer	nucleoplasm	Reactome DB_ID: 3209194	Protein1	
Complex10	ATR-ATRIP	nucleoplasm	Reactome DB_ID: 176269	Protein81	
Complex10	ATR-ATRIP	nucleoplasm	Reactome DB_ID: 176269	Protein82	
Complex11	phospho-Cdc25C:14-3-3 protein complex	cytosol	Reactome DB_ID: 75005	Protein86	
Complex11	phospho-Cdc25C:14-3-3 protein complex	cytosol	Reactome DB_ID: 75005	PhysicalEntity4	
Complex12	CCNB1:p-T14,T161-CDK1	nucleoplasm	Reactome DB_ID: 170073	Protein89	
Complex12	CCNB1:p-T14,T161-CDK1	nucleoplasm	Reactome DB_ID: 170073	Protein90	
Complex13	CCNB1:p-T14,Y15,T161-CDK1	nucleoplasm	Reactome DB_ID: 170065	Protein91	
Complex13	CCNB1:p-T14,Y15,T161-CDK1	nucleoplasm	Reactome DB_ID: 170065	Protein90	
Complex14	CCNB:CDK1	cytosol	Reactome DB_ID: 170077	Protein92	
Complex14	CCNB:CDK1	cytosol	Reactome DB_ID: 170077	Protein93	
Complex15	CCNB:p-T14-CDK1	cytosol	Reactome DB_ID: 170069	Protein96	
Complex15	CCNB:p-T14-CDK1	cytosol	Reactome DB_ID: 170069	Protein93	
Complex16	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein98	
Complex16	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein99	
Complex16	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein100	
Complex17	RPA-ssDNA complex	nucleoplasm	Reactome DB_ID: 176293	Complex16	
Complex17	RPA-ssDNA complex	nucleoplasm	Reactome DB_ID: 176293	PhysicalEntity5	
Complex18	ATR-ATRIP-RPA-ssDNA signaling complex	nucleoplasm	Reactome DB_ID: 176281	Complex10	
Complex18	ATR-ATRIP-RPA-ssDNA signaling complex	nucleoplasm	Reactome DB_ID: 176281	Complex17	
Complex19	Rad17-RFC complex	nucleoplasm	Reactome DB_ID: 176353	Protein101	
Complex19	Rad17-RFC complex	nucleoplasm	Reactome DB_ID: 176353	Protein102	
Complex19	Rad17-RFC complex	nucleoplasm	Reactome DB_ID: 176353	Protein103	
Complex19	Rad17-RFC complex	nucleoplasm	Reactome DB_ID: 176353	Protein104	
Complex19	Rad17-RFC complex	nucleoplasm	Reactome DB_ID: 176353	Protein105	
Complex2	p-S15-TP53 Tetramer	nucleoplasm	Reactome DB_ID: 349474	Protein2	
Complex20	Rad17-RFC complex bound to DNA	nucleoplasm	Reactome DB_ID: 176204	Complex19	
Complex20	Rad17-RFC complex bound to DNA	nucleoplasm	Reactome DB_ID: 176204	Complex17	
Complex21	9-1-1 complex	nucleoplasm	Reactome DB_ID: 176312	Protein106	
Complex21	9-1-1 complex	nucleoplasm	Reactome DB_ID: 176312	Protein109	
Complex21	9-1-1 complex	nucleoplasm	Reactome DB_ID: 176312	Protein110	
Complex22	Rad9-Hus1-Rad1 bound to DNA	nucleoplasm	Reactome DB_ID: 176256	Complex21	
Complex22	Rad9-Hus1-Rad1 bound to DNA	nucleoplasm	Reactome DB_ID: 176256	Complex20	
Complex23	Cdc45:CDK:DDK:Mcm10:pre-replicative complex	nucleoplasm	Reactome DB_ID: 68564	Complex24	
Complex23	Cdc45:CDK:DDK:Mcm10:pre-replicative complex	nucleoplasm	Reactome DB_ID: 68564	Protein128	
Complex24	CDK:DDK:Mcm10:pre-replicative complex	nucleoplasm	Reactome DB_ID: 68561	Complex25	
Complex24	CDK:DDK:Mcm10:pre-replicative complex	nucleoplasm	Reactome DB_ID: 68561	Complex26	
Complex24	CDK:DDK:Mcm10:pre-replicative complex	nucleoplasm	Reactome DB_ID: 68561	Complex32	
Complex25	DDK	nucleoplasm	Reactome DB_ID: 68388	Protein111	
Complex25	DDK	nucleoplasm	Reactome DB_ID: 68388	Protein112	
Complex26	Mcm10:active pre-replicative complex	nucleoplasm	Reactome DB_ID: 156564	Complex27	
Complex26	Mcm10:active pre-replicative complex	nucleoplasm	Reactome DB_ID: 156564	Protein127	
Complex27	active pre-replicative complex	nucleoplasm	Reactome DB_ID: 156562	Complex28	
Complex27	active pre-replicative complex	nucleoplasm	Reactome DB_ID: 156562	Complex29	
Complex28	Mcm2-7 complex	nucleoplasm	Reactome DB_ID: 68558	Protein113	
Complex28	Mcm2-7 complex	nucleoplasm	Reactome DB_ID: 68558	Protein114	
Complex28	Mcm2-7 complex	nucleoplasm	Reactome DB_ID: 68558	Protein115	
