PhysicalEntity1	Trichloromethyl radical	endoplasmic reticulum lumen	Reactome DB_ID: 76433	NA	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein2	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein3	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein4	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein5	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein6	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein7	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein8	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein9	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein10	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein11	
Protein1	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein12	
