Complex1	SEMA4D dimer	plasma membrane	Reactome DB_ID: 373690	Protein1	
Complex10	R-Ras-GDP	plasma membrane	Reactome DB_ID: 399866	SmallMolecule6	
Complex10	R-Ras-GDP	plasma membrane	Reactome DB_ID: 399866	Protein7	
Complex11	Sema4D:Plexin-B1:p190RhoGAP:Rac:Rnd1	plasma membrane	Reactome DB_ID: 416601	Complex8	
Complex11	Sema4D:Plexin-B1:p190RhoGAP:Rac:Rnd1	plasma membrane	Reactome DB_ID: 416601	Protein8	
Complex12	RhoA (Mg cofactor):GTP	plasma membrane	Reactome DB_ID: 194545	Protein9	
Complex12	RhoA (Mg cofactor):GTP	plasma membrane	Reactome DB_ID: 194545	SmallMolecule4	
Complex12	RhoA (Mg cofactor):GTP	plasma membrane	Reactome DB_ID: 194545	SmallMolecule7	
Complex13	RhoA (Mg cofactor):GDP	plasma membrane	Reactome DB_ID: 194489	Protein9	
Complex13	RhoA (Mg cofactor):GDP	plasma membrane	Reactome DB_ID: 194489	SmallMolecule6	
Complex13	RhoA (Mg cofactor):GDP	plasma membrane	Reactome DB_ID: 194489	SmallMolecule7	
Complex14	Plexin-B1:ErbB2	plasma membrane	Reactome DB_ID: 419629	Protein2	
Complex14	Plexin-B1:ErbB2	plasma membrane	Reactome DB_ID: 419629	Protein10	
Complex15	SEMA4D:pPlexin-B1:ErbB2 complex	plasma membrane	Reactome DB_ID: 373695	Complex1	
Complex15	SEMA4D:pPlexin-B1:ErbB2 complex	plasma membrane	Reactome DB_ID: 373695	Complex16	
Complex16	pPlexin-B1:ErbB2	plasma membrane	Reactome DB_ID: 419627	Protein4	
Complex16	pPlexin-B1:ErbB2	plasma membrane	Reactome DB_ID: 419627	Protein10	
Complex17	Sema4D:pPlexin-B1:ErbB2:Rac1:Rnd1	plasma membrane	Reactome DB_ID: 419626	Protein6	
Complex17	Sema4D:pPlexin-B1:ErbB2:Rac1:Rnd1	plasma membrane	Reactome DB_ID: 419626	Complex15	
Complex17	Sema4D:pPlexin-B1:ErbB2:Rac1:Rnd1	plasma membrane	Reactome DB_ID: 419626	Complex18	
Complex18	VAV1 Rho/Rac effectors:GTP	cytosol	Reactome DB_ID: 114539	SmallMolecule3	
Complex18	VAV1 Rho/Rac effectors:GTP	cytosol	Reactome DB_ID: 114539	Protein11	
Complex19	Sema4D:Plexin-B1:Rac-Rnd1:LARG/PDZ-RhoGEF	plasma membrane	Reactome DB_ID: 416580	Complex17	
Complex19	Sema4D:Plexin-B1:Rac-Rnd1:LARG/PDZ-RhoGEF	plasma membrane	Reactome DB_ID: 416580	Protein16	
Complex2	Plexin-B1:Met	plasma membrane	Reactome DB_ID: 419634	Protein2	
Complex2	Plexin-B1:Met	plasma membrane	Reactome DB_ID: 419634	Protein3	
Complex20	RhoA,B,C:GDP	plasma membrane	Reactome DB_ID: 419164	SmallMolecule6	
Complex20	RhoA,B,C:GDP	plasma membrane	Reactome DB_ID: 419164	Protein19	
Complex21	RhoA/B/C:GTP	plasma membrane	Reactome DB_ID: 419161	SmallMolecule4	
Complex21	RhoA/B/C:GTP	plasma membrane	Reactome DB_ID: 419161	Protein19	
Complex22	Activated ROCK:RhoA/B/C:GTP	plasma membrane	Reactome DB_ID: 422483	Protein22	
Complex22	Activated ROCK:RhoA/B/C:GTP	plasma membrane	Reactome DB_ID: 422483	Complex21	
Complex23	Smooth muscle/non-muscle myosin II	cytosol	Reactome DB_ID: 419194	Protein25	
Complex23	Smooth muscle/non-muscle myosin II	cytosol	Reactome DB_ID: 419194	Protein28	
Complex23	Smooth muscle/non-muscle myosin II	cytosol	Reactome DB_ID: 419194	Protein29	
Complex24	Phospho-activated smooth muscle/non-muscle myosin 2	cytosol	Reactome DB_ID: 419195	Protein34	
Complex24	Phospho-activated smooth muscle/non-muscle myosin 2	cytosol	Reactome DB_ID: 419195	Protein28	
Complex24	Phospho-activated smooth muscle/non-muscle myosin 2	cytosol	Reactome DB_ID: 419195	Protein29	
Complex25	Plexin-A1-4:FYN	plasma membrane	Reactome DB_ID: 399844	Protein45	
Complex25	Plexin-A1-4:FYN	plasma membrane	Reactome DB_ID: 399844	Protein46	
Complex26	NRP1:PlexinA1-4:FARP2:FYN	plasma membrane	Reactome DB_ID: 399837	Protein43	
Complex26	NRP1:PlexinA1-4:FARP2:FYN	plasma membrane	Reactome DB_ID: 399837	Complex27	
Complex27	Plexin-A1-4:FYN:FARP2	plasma membrane	Reactome DB_ID: 421116	Protein44	
Complex27	Plexin-A1-4:FYN:FARP2	plasma membrane	Reactome DB_ID: 421116	Complex25	
Complex28	Sema3A dimer	extracellular region	Reactome DB_ID: 399861	Protein51	
Complex29	Sema3A:Nrp-1:Plexin A:Fyn	plasma membrane	Reactome DB_ID: 399858	Complex28	
Complex29	Sema3A:Nrp-1:Plexin A:Fyn	plasma membrane	Reactome DB_ID: 399858	Complex30	
Complex3	Sema4D:pPlexin-B1:Met	plasma membrane	Reactome DB_ID: 419621	Complex1	
Complex3	Sema4D:pPlexin-B1:Met	plasma membrane	Reactome DB_ID: 419621	Complex4	
Complex30	NRP1:Plexin-A1-4:FYN	plasma membrane	Reactome DB_ID: 399841	Protein43	
Complex30	NRP1:Plexin-A1-4:FYN	plasma membrane	Reactome DB_ID: 399841	Protein45	
Complex30	NRP1:Plexin-A1-4:FYN	plasma membrane	Reactome DB_ID: 399841	Protein46	
Complex31	Sema3A:NRP-1:pPlexin-A:Fyn:Fes	plasma membrane	Reactome DB_ID: 399859	Protein52	
Complex31	Sema3A:NRP-1:pPlexin-A:Fyn:Fes	plasma membrane	Reactome DB_ID: 399859	Complex32	
Complex32	Sema3A:NRP-1:pPlexin-A:fyn	plasma membrane	Reactome DB_ID: 419622	Complex28	
Complex32	Sema3A:NRP-1:pPlexin-A:fyn	plasma membrane	Reactome DB_ID: 419622	Complex33	
Complex33	NRP1:p-Plexin-A1-4:FYN	plasma membrane	Reactome DB_ID: 419625	Protein43	
Complex33	NRP1:p-Plexin-A1-4:FYN	plasma membrane	Reactome DB_ID: 419625	Protein45	
Complex33	NRP1:p-Plexin-A1-4:FYN	plasma membrane	Reactome DB_ID: 419625	Protein53	
Complex34	RAC1-GDP	cytosol	Reactome DB_ID: 445010	SmallMolecule8	
Complex34	RAC1-GDP	cytosol	Reactome DB_ID: 445010	Protein5	
Complex35	Sema3A:Nrp-1:pPlexinA:Fyn:Fes:Rac-1-GTP	plasma membrane	Reactome DB_ID: 399872	Complex31	
Complex35	Sema3A:Nrp-1:pPlexinA:Fyn:Fes:Rac-1-GTP	plasma membrane	Reactome DB_ID: 399872	Complex5	
Complex36	Sema3A:Nrp-1:pPlexinA:Fyn:Fes:Rac-1-GTP:Rnd1	plasma membrane	Reactome DB_ID: 399877	Complex7	
Complex36	Sema3A:Nrp-1:pPlexinA:Fyn:Fes:Rac-1-GTP:Rnd1	plasma membrane	Reactome DB_ID: 399877	Complex35	
Complex37	PIP5K1gamma:Talin-1	cytosol	Reactome DB_ID: 398218	Protein58	
Complex37	PIP5K1gamma:Talin-1	cytosol	Reactome DB_ID: 398218	Protein59	
Complex38	FARP2:PIP5KIgamma	cytosol	Reactome DB_ID: 399839	Protein44	
Complex38	FARP2:PIP5KIgamma	cytosol	Reactome DB_ID: 399839	Protein59	
