PhysicalEntity1	Photon	extracellular region	Reactome DB_ID: 419777	NA	
Protein1	Light-sensing opsins	plasma membrane	Reactome DB_ID: 419811	Protein2	
Protein1	Light-sensing opsins	plasma membrane	Reactome DB_ID: 419811	Protein3	
Protein1	Light-sensing opsins	plasma membrane	Reactome DB_ID: 419811	Protein4	
Protein1	Light-sensing opsins	plasma membrane	Reactome DB_ID: 419811	Protein5	
Protein1	Light-sensing opsins	plasma membrane	Reactome DB_ID: 419811	Protein6	
Protein1	Light-sensing opsins	plasma membrane	Reactome DB_ID: 419811	Protein7	
Protein1	Light-sensing opsins	plasma membrane	Reactome DB_ID: 419811	Protein8	
Protein1	Light-sensing opsins	plasma membrane	Reactome DB_ID: 419811	Protein9	
