Complex25	PPARA:RXRA Coactivator Complex	nucleoplasm	Reactome DB_ID: 400154	Protein26	
Complex26	Activated PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 422412	Complex27	
Complex26	Activated PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 422412	Protein13	
Complex26	Activated PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 422412	PhysicalEntity1	
Complex27	PPARA: Fatty Acid Complex (Activated PPARA)	nucleoplasm	Reactome DB_ID: 422413	Protein12	
Complex27	PPARA: Fatty Acid Complex (Activated PPARA)	nucleoplasm	Reactome DB_ID: 422413	SmallMolecule1	
Complex3	SREBP1A/1C:ACACB gene	nucleoplasm	Reactome DB_ID: 2426125	Dna2	
Complex3	SREBP1A/1C:ACACB gene	nucleoplasm	Reactome DB_ID: 2426125	Complex1	
Complex3	SREBP1A/1C:ACACB gene	nucleoplasm	Reactome DB_ID: 2426125	Protein4	
Complex4	SREBP1A/1C/2 Dimer	nucleoplasm	Reactome DB_ID: 1655744	Protein5	
Complex5	NF-Y	nucleoplasm	Reactome DB_ID: 381204	Protein7	
Complex5	NF-Y	nucleoplasm	Reactome DB_ID: 381204	Protein8	
Complex5	NF-Y	nucleoplasm	Reactome DB_ID: 381204	Protein9	
Complex6	SREBP1A/1C/2:NF-Y:TM7SF2 gene	nucleoplasm	Reactome DB_ID: 1655714	Dna3	
Complex6	SREBP1A/1C/2:NF-Y:TM7SF2 gene	nucleoplasm	Reactome DB_ID: 1655714	Complex4	
Complex6	SREBP1A/1C/2:NF-Y:TM7SF2 gene	nucleoplasm	Reactome DB_ID: 1655714	Complex5	
Complex7	SREBP1A/1C:NF-Y:GPAM gene	nucleoplasm	Reactome DB_ID: 2426131	Complex1	
Complex7	SREBP1A/1C:NF-Y:GPAM gene	nucleoplasm	Reactome DB_ID: 2426131	Dna4	
Complex7	SREBP1A/1C:NF-Y:GPAM gene	nucleoplasm	Reactome DB_ID: 2426131	Complex5	
Complex8	SREBP1A/1C:NF-Y:SP1:FASN gene	nucleoplasm	Reactome DB_ID: 1655738	Dna5	
Complex8	SREBP1A/1C:NF-Y:SP1:FASN gene	nucleoplasm	Reactome DB_ID: 1655738	Complex1	
Complex8	SREBP1A/1C:NF-Y:SP1:FASN gene	nucleoplasm	Reactome DB_ID: 1655738	Protein4	
Complex8	SREBP1A/1C:NF-Y:SP1:FASN gene	nucleoplasm	Reactome DB_ID: 1655738	Complex5	
Complex9	SREBP1A/2 Dimer	nucleoplasm	Reactome DB_ID: 2065551	Protein10	
