BiochemicalReaction7	20oh-LTB4 is oxidised to 20cho-LTB4 by CYP4F2/4F3	SmallMolecule4	SmallMolecule9	
BiochemicalReaction7	20oh-LTB4 is oxidised to 20cho-LTB4 by CYP4F2/4F3	SmallMolecule14	SmallMolecule9	
BiochemicalReaction7	20oh-LTB4 is oxidised to 20cho-LTB4 by CYP4F2/4F3	SmallMolecule13	SmallMolecule9	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule17	SmallMolecule18	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule13	SmallMolecule18	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule14	SmallMolecule18	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule4	SmallMolecule18	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule4	SmallMolecule12	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule14	SmallMolecule12	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule13	SmallMolecule12	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule17	SmallMolecule12	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule4	SmallMolecule9	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule14	SmallMolecule9	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule13	SmallMolecule9	
BiochemicalReaction8	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	SmallMolecule17	SmallMolecule9	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule17	SmallMolecule18	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule13	SmallMolecule18	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule14	SmallMolecule18	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule4	SmallMolecule18	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule4	SmallMolecule12	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule14	SmallMolecule12	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule13	SmallMolecule12	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule17	SmallMolecule12	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule4	SmallMolecule9	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule14	SmallMolecule9	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule13	SmallMolecule9	
BiochemicalReaction9	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	SmallMolecule17	SmallMolecule9	
