PhysicalEntity1	3-hydroxyacyl-CoA dehydratase	endoplasmic reticulum membrane	Reactome DB_ID: 548833	NA	
Protein19	HSD17B12-like proteins	endoplasmic reticulum membrane	Reactome DB_ID: 3907274	Protein20	
Protein19	HSD17B12-like proteins	endoplasmic reticulum membrane	Reactome DB_ID: 3907274	Protein21	
Protein22	TECR-like proteins	endoplasmic reticulum membrane	Reactome DB_ID: 4127425	Protein23	
Protein22	TECR-like proteins	endoplasmic reticulum membrane	Reactome DB_ID: 4127425	Protein24	
Protein5	ACSL1-like Proteins	endoplasmic reticulum membrane	Reactome DB_ID: 3878115	Protein6	
Protein5	ACSL1-like Proteins	endoplasmic reticulum membrane	Reactome DB_ID: 3878115	Protein7	
Protein8	ACSL	endoplasmic reticulum membrane	Reactome DB_ID: 2901793	Protein9	
Protein8	ACSL	endoplasmic reticulum membrane	Reactome DB_ID: 2901793	Protein10	
