PathwayStep1	PathwayStep2	
PathwayStep13	PathwayStep15	
PathwayStep14	PathwayStep15	
PathwayStep14	PathwayStep13	
PathwayStep21	PathwayStep22	
PathwayStep22	PathwayStep23	
PathwayStep24	PathwayStep25	
PathwayStep29	PathwayStep41	
PathwayStep30	PathwayStep41	
PathwayStep31	PathwayStep41	
PathwayStep32	PathwayStep41	
PathwayStep33	PathwayStep41	
PathwayStep34	PathwayStep41	
PathwayStep35	PathwayStep41	
PathwayStep36	PathwayStep41	
PathwayStep37	PathwayStep41	
PathwayStep38	PathwayStep41	
PathwayStep39	PathwayStep41	
PathwayStep40	PathwayStep41	
PathwayStep41	PathwayStep42	
PathwayStep6	PathwayStep7	
PathwayStep8	PathwayStep7	
