PhysicalEntity1	Trichloromethyl radical	endoplasmic reticulum lumen	Reactome DB_ID: 76433	NA	
Protein10	Cytochrome P450 (CYP11B1 based)	mitochondrial inner membrane	Reactome DB_ID: 3219421	Protein11	
Protein10	Cytochrome P450 (CYP11B1 based)	mitochondrial inner membrane	Reactome DB_ID: 3219421	Protein12	
Protein14	Cytochrome P450 (CYP11B2 based)	mitochondrial inner membrane	Reactome DB_ID: 3219424	Protein12	
Protein14	Cytochrome P450 (CYP11B2 based)	mitochondrial inner membrane	Reactome DB_ID: 3219424	Protein11	
Protein2	Cytochrome P450 (CYP7A1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219435	Protein3	
Protein2	Cytochrome P450 (CYP7A1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219435	Protein4	
Protein24	Cytochrome P450 (CYP2A3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219412	Protein25	
Protein24	Cytochrome P450 (CYP2A3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219412	Protein26	
Protein24	Cytochrome P450 (CYP2A3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219412	Protein27	
Protein24	Cytochrome P450 (CYP2A3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219412	Protein28	
Protein24	Cytochrome P450 (CYP2A3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219412	Protein29	
Protein30	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein27	
Protein30	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein25	
Protein30	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein26	
Protein30	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein28	
Protein30	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein31	
