Complex19	GAD1 activity	cytosol	Reactome DB_ID: 888566	Complex20	
Complex21	GAD2 Activity Complex	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	Reactome DB_ID: 888569	Complex22	
Complex21	GAD2 Activity Complex	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	Reactome DB_ID: 888569	Complex23	
Complex27	GAD2 Activity Complex	plasma membrane	Reactome DB_ID: 947479	Complex28	
Complex27	GAD2 Activity Complex	plasma membrane	Reactome DB_ID: 947479	Complex29	
Complex8	GLS dimers	mitochondrial matrix	Reactome DB_ID: 507859	Complex9	
Complex8	GLS dimers	mitochondrial matrix	Reactome DB_ID: 507859	Complex10	
Protein15	OCT2	plasma membrane	Reactome DB_ID: 2901780	Protein16	
Protein15	OCT2	plasma membrane	Reactome DB_ID: 2901780	Protein17	
Protein18	Synapsin	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380576	Protein19	
Protein18	Synapsin	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380576	Protein20	
Protein18	Synapsin	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380576	Protein21	
Protein31	Neuronal EAATs	plasma membrane	Reactome DB_ID: 210358	Protein32	
Protein31	Neuronal EAATs	plasma membrane	Reactome DB_ID: 210358	Protein33	
Protein31	Neuronal EAATs	plasma membrane	Reactome DB_ID: 210358	Protein34	
Protein55	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein56	
Protein55	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein57	
Protein55	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein58	
SmallMolecule47	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule44	
SmallMolecule47	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule48	
SmallMolecule47	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule49	
SmallMolecule47	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule50	
SmallMolecule51	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule42	
SmallMolecule51	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule52	
SmallMolecule51	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule53	
SmallMolecule51	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule54	
