Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Protein50	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Protein51	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Protein2	
Complex27	EGF:p-6Y-EGFR:p-Y371-CBL:GRB2:CIN85:Endophilin:Epsin:Eps15R:Eps15:Clathrin	plasma membrane	Reactome DB_ID: 182941	Protein27	
Complex28	Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177505	Complex24	
Complex28	Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177505	Complex26	
Complex29	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182961	Complex22	
Complex29	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182961	Protein4	
Complex29	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182961	Complex25	
Complex29	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182961	Protein1	
Complex29	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182961	Protein50	
Complex29	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182961	Protein51	
Complex29	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182961	Protein2	
Complex3	EGF:p-6Y-EGFR:CBL	plasma membrane	Reactome DB_ID: 182960	Protein1	
Complex3	EGF:p-6Y-EGFR:CBL	plasma membrane	Reactome DB_ID: 182960	Protein2	
Complex3	EGF:p-6Y-EGFR:CBL	plasma membrane	Reactome DB_ID: 182960	Protein3	
Complex30	EGF:p-6Y-EGFR:CBL:p-Y53/55-SPRY1/2	plasma membrane	Reactome DB_ID: 182935	Protein23	
Complex30	EGF:p-6Y-EGFR:CBL:p-Y53/55-SPRY1/2	plasma membrane	Reactome DB_ID: 182935	Complex3	
Complex31	EGF:p-6Y-EGFR:p-Y371-CBL:Ub-CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182936	Protein4	
Complex31	EGF:p-6Y-EGFR:p-Y371-CBL:Ub-CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182936	Complex25	
Complex31	EGF:p-6Y-EGFR:p-Y371-CBL:Ub-CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182936	Protein1	
Complex31	EGF:p-6Y-EGFR:p-Y371-CBL:Ub-CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182936	Protein50	
Complex31	EGF:p-6Y-EGFR:p-Y371-CBL:Ub-CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182936	Protein51	
Complex31	EGF:p-6Y-EGFR:p-Y371-CBL:Ub-CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182936	Protein2	
Complex31	EGF:p-6Y-EGFR:p-Y371-CBL:Ub-CIN85:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182936	Complex32	
Complex32	CIN85 ubiquitinated:Endophilin	cytosol	Reactome DB_ID: 187073	Protein36	
Complex32	CIN85 ubiquitinated:Endophilin	cytosol	Reactome DB_ID: 187073	Protein52	
Complex33	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:SPRY1/2:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182931	Complex22	
Complex33	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:SPRY1/2:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182931	Protein4	
Complex33	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:SPRY1/2:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182931	Complex25	
Complex33	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:SPRY1/2:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182931	Protein1	
Complex33	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:SPRY1/2:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182931	Protein30	
Complex33	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:SPRY1/2:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182931	Protein50	
Complex33	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:SPRY1/2:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182931	Protein51	
Complex33	EGF:p-6Y-EGFR:p-Y371-CBL:CIN85:SPRY1/2:Endophilin:Epsin:Eps15R:Eps15	plasma membrane	Reactome DB_ID: 182931	Protein2	
Complex4	EGF:p-6Y-EGFR:p-Y371-CBL	plasma membrane	Reactome DB_ID: 182953	Protein4	
Complex4	EGF:p-6Y-EGFR:p-Y371-CBL	plasma membrane	Reactome DB_ID: 182953	Protein1	
Complex4	EGF:p-6Y-EGFR:p-Y371-CBL	plasma membrane	Reactome DB_ID: 182953	Protein2	
Complex5	EGF:p-6Y-EGFR:CBL:Ub-p-Y53/55-SPRY1/2	plasma membrane	Reactome DB_ID: 182939	Complex3	
Complex5	EGF:p-6Y-EGFR:CBL:Ub-p-Y53/55-SPRY1/2	plasma membrane	Reactome DB_ID: 182939	Complex6	
Complex6	Ub-p-Y53/55-SPRY1/2	cytosol	Reactome DB_ID: 182967	Protein5	
Complex6	Ub-p-Y53/55-SPRY1/2	cytosol	Reactome DB_ID: 182967	Protein23	
Complex7	EGF:Ub-p-6Y-EGFR:p-Y371-CBL	plasma membrane	Reactome DB_ID: 182930	Protein5	
Complex7	EGF:Ub-p-6Y-EGFR:p-Y371-CBL	plasma membrane	Reactome DB_ID: 182930	Protein4	
Complex7	EGF:Ub-p-6Y-EGFR:p-Y371-CBL	plasma membrane	Reactome DB_ID: 182930	Protein1	
Complex7	EGF:Ub-p-6Y-EGFR:p-Y371-CBL	plasma membrane	Reactome DB_ID: 182930	Protein2	
Complex8	CBL:GRB2	cytosol	Reactome DB_ID: 182910	Protein26	
Complex8	CBL:GRB2	cytosol	Reactome DB_ID: 182910	Protein27	
Complex9	EGF:p-6Y-EGFR:CBL:GRB2	plasma membrane	Reactome DB_ID: 182928	Complex8	
Complex9	EGF:p-6Y-EGFR:CBL:GRB2	plasma membrane	Reactome DB_ID: 182928	Protein1	
Complex9	EGF:p-6Y-EGFR:CBL:GRB2	plasma membrane	Reactome DB_ID: 182928	Protein2	
