PhysicalEntity1	glutamine-N-acyltransferase	mitochondrial matrix	Reactome DB_ID: 177742	NA	
Protein1	xenobiotic/medium-chain fatty acid:CoA ligases	mitochondrial matrix	Reactome DB_ID: 177125	Protein2	
Protein1	xenobiotic/medium-chain fatty acid:CoA ligases	mitochondrial matrix	Reactome DB_ID: 177125	Protein3	
Protein4	GLYAT-like proteins	mitochondrial matrix	Reactome DB_ID: 3968340	Protein5	
Protein4	GLYAT-like proteins	mitochondrial matrix	Reactome DB_ID: 3968340	Protein6	
Protein4	GLYAT-like proteins	mitochondrial matrix	Reactome DB_ID: 3968340	Protein7	
Protein8	ACSM2B-like proteins	mitochondrial matrix	Reactome DB_ID: 3907283	Protein2	
Protein8	ACSM2B-like proteins	mitochondrial matrix	Reactome DB_ID: 3907283	Protein9	
Protein8	ACSM2B-like proteins	mitochondrial matrix	Reactome DB_ID: 3907283	Protein10	
Protein8	ACSM2B-like proteins	mitochondrial matrix	Reactome DB_ID: 3907283	Protein11	
