Protein168	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2064221	Golgi lumen	
Protein169	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2064021	Golgi lumen	
Protein17	HEXB	UniProt:P07686 HEXB	Reactome DB_ID: 1605777	lysosomal lumen	
Protein170	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2064173	Golgi lumen	
Protein171	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2064160	Golgi lumen	
Protein172	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2064057	Golgi lumen	
Protein173	Perlecan	UniProt:P98160 HSPG2	Reactome DB_ID: 2063972	Golgi lumen	
Protein174	XylS-SDC1	UniProt:P18827 SDC1	Reactome DB_ID: 2064146	Golgi lumen	
Protein175	HSPG	UniProt:P34741 SDC2	Reactome DB_ID: 2064109	Golgi lumen	
Protein176	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2064072	Golgi lumen	
Protein177	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2064195	Golgi lumen	
Protein178	BCAN	UniProt:Q96GW7 BCAN	Reactome DB_ID: 2064139	Golgi lumen	
Protein179	BGN	UniProt:P21810 BGN	Reactome DB_ID: 2064015	Golgi lumen	
Protein18	HEXB	UniProt:P07686 HEXB	Reactome DB_ID: 1605605	lysosomal lumen	
Protein180	CSPG4	UniProt:Q6UVK1 CSPG4	Reactome DB_ID: 2063964	Golgi lumen	
Protein181	CSPG5	UniProt:O95196 CSPG5	Reactome DB_ID: 2064153	Golgi lumen	
Protein182	DCN	UniProt:P07585 DCN	Reactome DB_ID: 2064097	Golgi lumen	
Protein183	NCAN	UniProt:O14594 NCAN	Reactome DB_ID: 2064183	Golgi lumen	
Protein184	VCAN	UniProt:P13611 VCAN	Reactome DB_ID: 2064155	Golgi lumen	
Protein186	GXYLT1	UniProt:Q4G148 GXYLT1	Reactome DB_ID: 1877988	Golgi membrane	
Protein187	GXYLT2	UniProt:A0PJZ3 GXYLT2	Reactome DB_ID: 1877998	Golgi membrane	
Protein189	Agrin	UniProt:O00468 AGRN	Reactome DB_ID: 2064130	Golgi lumen	
Protein19	HEXA	UniProt:P06865 HEXA	Reactome DB_ID: 1605799	lysosomal lumen	
Protein190	Glypican-1	UniProt:P35052 GPC1	Reactome DB_ID: 2064076	Golgi lumen	
Protein191	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2064009	Golgi lumen	
Protein192	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2064202	Golgi lumen	
Protein193	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2064060	Golgi lumen	
Protein194	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2064133	Golgi lumen	
Protein195	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2064104	Golgi lumen	
Protein196	Perlecan	UniProt:P98160 HSPG2	Reactome DB_ID: 2064209	Golgi lumen	
Protein197	syndecan 1	UniProt:P18827 SDC1	Reactome DB_ID: 2064148	Golgi lumen	
Protein198	HSPG	UniProt:P34741 SDC2	Reactome DB_ID: 2064132	Golgi lumen	
Protein199	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2063983	Golgi lumen	
Protein2	HAS1	UniProt:Q92839 HAS1	Reactome DB_ID: 2142868	plasma membrane	
Protein200	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2064249	Golgi lumen	
Protein201	BCAN	UniProt:Q96GW7 BCAN	Reactome DB_ID: 2064045	Golgi lumen	
Protein202	BGN	UniProt:P21810 BGN	Reactome DB_ID: 2064103	Golgi lumen	
Protein203	CSPG4	UniProt:Q6UVK1 CSPG4	Reactome DB_ID: 2064102	Golgi lumen	
Protein204	CSPG5	UniProt:O95196 CSPG5	Reactome DB_ID: 2064011	Golgi lumen	
Protein205	DCN	UniProt:P07585 DCN	Reactome DB_ID: 2064080	Golgi lumen	
Protein206	NCAN	UniProt:O14594 NCAN	Reactome DB_ID: 2064055	Golgi lumen	
Protein207	VCAN	UniProt:P13611 VCAN	Reactome DB_ID: 2064088	Golgi lumen	
Protein208	B4GALT7	UniProt:Q9UBV7 B4GALT7	Reactome DB_ID: 1889950	Golgi membrane	
Protein21	SLC26A1	UniProt:Q9H2B4 SLC26A1	Reactome DB_ID: 427580	plasma membrane	
Protein210	AGRN	UniProt:O00468 AGRN	Reactome DB_ID: 2064040	Golgi lumen	
Protein211	GPC1	UniProt:P35052 GPC1	Reactome DB_ID: 2064144	Golgi lumen	
Protein212	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2064006	Golgi lumen	
Protein213	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2063987	Golgi lumen	
Protein214	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2064030	Golgi lumen	
Protein215	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2064053	Golgi lumen	
Protein216	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2064114	Golgi lumen	
Protein217	HSPG2	UniProt:P98160 HSPG2	Reactome DB_ID: 2063971	Golgi lumen	
Protein218	SDC1	UniProt:P18827 SDC1	Reactome DB_ID: 2064247	Golgi lumen	
Protein219	SDC2	UniProt:P34741 SDC2	Reactome DB_ID: 2063988	Golgi lumen	
Protein22	SLC26A2	UniProt:P50443 SLC26A2	Reactome DB_ID: 427669	plasma membrane	
Protein220	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2064042	Golgi lumen	
Protein221	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2064100	Golgi lumen	
Protein222	BCAN	UniProt:Q96GW7 BCAN	Reactome DB_ID: 2063986	Golgi lumen	
Protein223	BGN	UniProt:P21810 BGN	Reactome DB_ID: 2063957	Golgi lumen	
Protein224	CSPG4	UniProt:Q6UVK1 CSPG4	Reactome DB_ID: 2064062	Golgi lumen	
Protein225	CSPG5	UniProt:O95196 CSPG5	Reactome DB_ID: 2064223	Golgi lumen	
Protein226	DCN	UniProt:P07585 DCN	Reactome DB_ID: 2064064	Golgi lumen	
Protein227	NCAN	UniProt:O14594 NCAN	Reactome DB_ID: 2064022	Golgi lumen	
Protein228	VCAN	UniProt:P13611 VCAN	Reactome DB_ID: 2064010	Golgi lumen	
Protein229	B3GALT6	UniProt:Q96L58 B3GALT6	Reactome DB_ID: 913714	Golgi membrane	
Protein231	Agrin	UniProt:O00468 AGRN	Reactome DB_ID: 2064200	Golgi lumen	
Protein232	Glypican-1	UniProt:P35052 GPC1	Reactome DB_ID: 2064189	Golgi lumen	
Protein233	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2064059	Golgi lumen	
Protein234	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2064012	Golgi lumen	
Protein235	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2064215	Golgi lumen	
Protein236	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2064087	Golgi lumen	
Protein237	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2064250	Golgi lumen	
Protein238	Perlecan	UniProt:P98160 HSPG2	Reactome DB_ID: 2064023	Golgi lumen	
Protein239	syndecan 1	UniProt:P18827 SDC1	Reactome DB_ID: 2064082	Golgi lumen	
Protein24	PAPSS1	UniProt:O43252 PAPSS1	Reactome DB_ID: 174387	cytosol	
Protein240	HSPG	UniProt:P34741 SDC2	Reactome DB_ID: 2063997	Golgi lumen	
Protein241	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2064123	Golgi lumen	
Protein242	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2064067	Golgi lumen	
Protein243	BCAN	UniProt:Q96GW7 BCAN	Reactome DB_ID: 2064147	Golgi lumen	
Protein244	BGN	UniProt:P21810 BGN	Reactome DB_ID: 2064216	Golgi lumen	
Protein245	CSPG4	UniProt:Q6UVK1 CSPG4	Reactome DB_ID: 2064190	Golgi lumen	
Protein246	CSPG5	UniProt:O95196 CSPG5	Reactome DB_ID: 2064033	Golgi lumen	
