PhysicalEntity1	ARS	nucleoplasm	Reactome DB_ID: 68419	NA	
PhysicalEntity2	cyclin	nucleoplasm	Reactome DB_ID: 68379	NA	
PhysicalEntity3	anaphase-promoting complex (APC)	cytosol	Reactome DB_ID: 69007	NA	
Protein17	CCNA	nucleoplasm	Reactome DB_ID: 75202	Protein18	
Protein17	CCNA	nucleoplasm	Reactome DB_ID: 75202	Protein19	
Protein21	Cyclin A:Cdk1 substrate proteins	nucleoplasm	Reactome DB_ID: 187963	Protein22	
Protein21	Cyclin A:Cdk1 substrate proteins	nucleoplasm	Reactome DB_ID: 187963	Protein23	
Protein21	Cyclin A:Cdk1 substrate proteins	nucleoplasm	Reactome DB_ID: 187963	Protein24	
Protein21	Cyclin A:Cdk1 substrate proteins	nucleoplasm	Reactome DB_ID: 187963	Protein25	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein27	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein28	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein29	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein30	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein31	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein32	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein33	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein34	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein35	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein36	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein37	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein38	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein39	
Protein26	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein40	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein42	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein43	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein44	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein45	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein46	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein47	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein48	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein49	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein50	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein51	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein52	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein53	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein54	
Protein41	Ub	cytosol	Reactome DB_ID: 113595	Protein55	
