PhysicalEntity1	F-actin	cytosol	Reactome DB_ID: 201877	NA	
Protein17	Filamin	cytosol	Reactome DB_ID: 446328	Protein18	
Protein17	Filamin	cytosol	Reactome DB_ID: 446328	Protein19	
Protein2	PINCH	cytosol	Reactome DB_ID: 446104	Protein3	
Protein2	PINCH	cytosol	Reactome DB_ID: 446104	Protein4	
Protein5	alpha/beta parvin	cytosol	Reactome DB_ID: 446032	Protein6	
Protein5	alpha/beta parvin	cytosol	Reactome DB_ID: 446032	Protein7	
Protein8	PINCH	cytosol	Reactome DB_ID: 446301	Protein4	
Protein8	PINCH	cytosol	Reactome DB_ID: 446301	Protein3	
