Protein1	NGF	UniProt:P01138 NGF	Reactome DB_ID: 167034	extracellular region	
Protein69	UBC(305-380)	UniProt:P0CG48 UBC	Reactome DB_ID: 939232	cytosol	
Protein7	RAC1	UniProt:P63000 RAC1	Reactome DB_ID: 2316446	plasma membrane	
Protein70	UBC(381-456)	UniProt:P0CG48 UBC	Reactome DB_ID: 939191	cytosol	
Protein71	UBC(457-532)	UniProt:P0CG48 UBC	Reactome DB_ID: 939184	cytosol	
Protein72	UBC(533-608)	UniProt:P0CG48 UBC	Reactome DB_ID: 939239	cytosol	
Protein73	UBC(609-684)	UniProt:P0CG48 UBC	Reactome DB_ID: 939165	cytosol	
Protein74	p62	UniProt:Q13501 SQSTM1	Reactome DB_ID: 193937	cytosol	
Protein75	ITGB3BP	UniProt:Q13352 ITGB3BP	Reactome DB_ID: 606325	nucleoplasm	
Protein77	RPS27A(1-76)	UniProt:P62979 RPS27A	Reactome DB_ID: 939849	nucleoplasm	
Protein78	UBA52(1-76)	UniProt:P62987 UBA52	Reactome DB_ID: 939844	nucleoplasm	
Protein79	UBB	UniProt:P0CG47 UBB	Reactome DB_ID: 939847	nucleoplasm	
Protein80	UBB(77-152)	UniProt:P0CG47 UBB	Reactome DB_ID: 939870	nucleoplasm	
Protein81	UBB(153-228)	UniProt:P0CG47 UBB	Reactome DB_ID: 939854	nucleoplasm	
Protein82	UBC	UniProt:P0CG48 UBC	Reactome DB_ID: 939871	nucleoplasm	
Protein83	UBC(77-152)	UniProt:P0CG48 UBC	Reactome DB_ID: 939869	nucleoplasm	
Protein84	UBC(153-228)	UniProt:P0CG48 UBC	Reactome DB_ID: 939853	nucleoplasm	
Protein85	UBC(229-304)	UniProt:P0CG48 UBC	Reactome DB_ID: 939857	nucleoplasm	
Protein86	UBC(305-380)	UniProt:P0CG48 UBC	Reactome DB_ID: 939863	nucleoplasm	
Protein87	UBC(381-456)	UniProt:P0CG48 UBC	Reactome DB_ID: 939856	nucleoplasm	
Protein88	UBC(457-532)	UniProt:P0CG48 UBC	Reactome DB_ID: 939862	nucleoplasm	
Protein89	UBC(533-608)	UniProt:P0CG48 UBC	Reactome DB_ID: 939866	nucleoplasm	
Protein9	RASGRF2	UniProt:O14827 RASGRF2	Reactome DB_ID: 194944	cytosol	
Protein90	UBC(609-684)	UniProt:P0CG48 UBC	Reactome DB_ID: 939868	nucleoplasm	
Protein91	SQSTM1	UniProt:Q13501 SQSTM1	Reactome DB_ID: 210961	nucleoplasm	
Protein92	NADE	UniProt:Q00994 NGFRAP1	Reactome DB_ID: 194333	cytosol	
Protein94	SCA-1	UniProt:P42574 CASP3	Reactome DB_ID: 57021	cytosol	
Protein95	CASP2	UniProt:P42575 CASP2	Reactome DB_ID: 622412	cytosol	
Protein96	CASP2	UniProt:P42575 CASP2	Reactome DB_ID: 2976746	cytosol	
Protein97	CASP2	UniProt:P42575 CASP2	Reactome DB_ID: 2976745	cytosol	
Protein98	CASP3	UniProt:P42574 CASP3	Reactome DB_ID: 141644	cytosol	
Protein99	CASP3(176-277)	UniProt:P42574 CASP3	Reactome DB_ID: 141646	cytosol	
