PhysicalEntity32	Endostatin-degrading cathepsins	extracellular region	Reactome DB_ID: 2471626	Complex11	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity2	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity4	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity6	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity20	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity22	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity24	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity26	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity11	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity2	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity4	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity6	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity20	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity22	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity24	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity26	
PhysicalEntity33	Cleaved collagen fibrils	extracellular region	Reactome DB_ID: 2537527	PhysicalEntity11	
PhysicalEntity4	Cleaved collagen type II fibril	extracellular region	Reactome DB_ID: 2468059	NA	
PhysicalEntity5	Collagen type III fibril	extracellular region	Reactome DB_ID: 1474212	NA	
PhysicalEntity6	Cleaved collagen type III fibril	extracellular region	Reactome DB_ID: 2468104	NA	
PhysicalEntity7	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity8	
PhysicalEntity7	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity9	
PhysicalEntity7	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity10	
PhysicalEntity7	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity8	
PhysicalEntity7	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity9	
PhysicalEntity7	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity10	
PhysicalEntity8	Collagen type IV alpha1.alpha1.alpha2 network	extracellular region	Reactome DB_ID: 2214294	NA	
PhysicalEntity9	Collagen type IV alpha1.alpha2.alpha5.alpha6 network	extracellular region	Reactome DB_ID: 2564665	NA	
Protein1	MMP1,2,8,13, PRSS2	extracellular region	Reactome DB_ID: 1605826	Protein2	
Protein1	MMP1,2,8,13, PRSS2	extracellular region	Reactome DB_ID: 1605826	Protein3	
Protein1	MMP1,2,8,13, PRSS2	extracellular region	Reactome DB_ID: 1605826	Protein4	
Protein1	MMP1,2,8,13, PRSS2	extracellular region	Reactome DB_ID: 1605826	Protein5	
Protein1	MMP1,2,8,13, PRSS2	extracellular region	Reactome DB_ID: 1605826	Protein6	
Protein11	MMP1,8,9,13	extracellular region	Reactome DB_ID: 1606407	Protein2	
Protein11	MMP1,8,9,13	extracellular region	Reactome DB_ID: 1606407	Protein3	
Protein11	MMP1,8,9,13	extracellular region	Reactome DB_ID: 1606407	Protein4	
Protein11	MMP1,8,9,13	extracellular region	Reactome DB_ID: 1606407	Protein12	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein112	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein113	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein114	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein115	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein116	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein117	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein118	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein119	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein120	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein121	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein122	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein123	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein124	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein125	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein126	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein127	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein128	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein129	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein130	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein131	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein132	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein133	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein134	
Protein111	Cleaved collagen alpha-3(IX) chains	extracellular region	Reactome DB_ID: 2470419	Protein135	
Protein136	MMP3,13	extracellular region	Reactome DB_ID: 2470415	Protein3	
Protein136	MMP3,13	extracellular region	Reactome DB_ID: 2470415	Protein10	
Protein137	MMP-1 and MMP-2	extracellular region	Reactome DB_ID: 381470	Protein2	
Protein137	MMP-1 and MMP-2	extracellular region	Reactome DB_ID: 381470	Protein5	
Protein138	MMP3,13	extracellular region	Reactome DB_ID: 2484887	Protein3	
Protein138	MMP3,13	extracellular region	Reactome DB_ID: 2484887	Protein10	
Protein139	MMP1,2,3,9	extracellular region	Reactome DB_ID: 2470630	Protein2	
Protein139	MMP1,2,3,9	extracellular region	Reactome DB_ID: 2470630	Protein5	
Protein139	MMP1,2,3,9	extracellular region	Reactome DB_ID: 2470630	Protein10	
Protein139	MMP1,2,3,9	extracellular region	Reactome DB_ID: 2470630	Protein12	
Protein14	MMP2,3,4,9,10,12	extracellular region	Reactome DB_ID: 1606378	Protein5	
Protein14	MMP2,3,4,9,10,12	extracellular region	Reactome DB_ID: 1606378	Protein10	
Protein14	MMP2,3,4,9,10,12	extracellular region	Reactome DB_ID: 1606378	Protein15	
Protein14	MMP2,3,4,9,10,12	extracellular region	Reactome DB_ID: 1606378	Protein12	
Protein14	MMP2,3,4,9,10,12	extracellular region	Reactome DB_ID: 1606378	Protein13	
Protein14	MMP2,3,4,9,10,12	extracellular region	Reactome DB_ID: 1606378	Protein16	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein141	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein142	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein143	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein144	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein145	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein146	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein147	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein148	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein149	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein150	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein151	
Protein140	Collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2192779	Protein152	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein154	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein155	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein156	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein157	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein158	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein159	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein160	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein161	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein162	
