Protein60	AP1B1	UniProt:Q10567 AP1B1	Reactome DB_ID: 350809	Golgi membrane	
Protein62	AP1M1	UniProt:Q9BXS5 AP1M1	Reactome DB_ID: 350805	Golgi membrane	
Protein63	AP1M2	UniProt:Q9Y6Q5 AP1M2	Reactome DB_ID: 350813	Golgi membrane	
Protein65	AP1S1	UniProt:P61966 AP1S1	Reactome DB_ID: 350804	Golgi membrane	
Protein66	AP1S2	UniProt:P56377 AP1S2	Reactome DB_ID: 350812	Golgi membrane	
Protein67	AP1S3	UniProt:Q96PC3 AP1S3	Reactome DB_ID: 350806	Golgi membrane	
Protein68	ARRB1	UniProt:P49407 ARRB1	Reactome DB_ID: 350831	Golgi membrane	
Protein69	SH3GL2	UniProt:Q99962 SH3GL2	Reactome DB_ID: 182958	cytosol	
Protein7	BLOC1S3	UniProt:Q6QNY0 BLOC1S3	Reactome DB_ID: 429820	cytosol	
Protein70	CLTA-1	UniProt:P09496-1 CLTA	Reactome DB_ID: 350828	cytosol	
Protein71	CLTC-1	UniProt:Q00610-1 CLTC	Reactome DB_ID: 350824	cytosol	
Protein72	DNM2	UniProt:P50570 DNM2	Reactome DB_ID: 2213180	cytosol	
Protein73	DNM2	UniProt:P50570 DNM2	Reactome DB_ID: 2980842	Golgi membrane	
Protein74	SH3GL2	UniProt:Q99962 SH3GL2	Reactome DB_ID: 351189	Golgi membrane	
Protein75	ARF1	UniProt:P84077 ARF1	Reactome DB_ID: 200826	cytosol	
Protein77	CPD	UniProt:O75976 CPD	Reactome DB_ID: 432671	cytoplasmic vesicle membrane	
Protein78	PIK3C2A	UniProt:O00443 PIK3C2A	Reactome DB_ID: 432683	cytoplasmic vesicle membrane	
Protein79	SNX9	UniProt:Q9Y5X1 SNX9	Reactome DB_ID: 432990	cytoplasmic vesicle membrane	
Protein80	PICALM	UniProt:Q13492 PICALM	Reactome DB_ID: 429812	cytoplasmic vesicle membrane	
Protein81	TGOLN2	UniProt:O43493 TGOLN2	Reactome DB_ID: 429818	cytoplasmic vesicle membrane	
Protein82	OCRL	UniProt:Q01968 OCRL	Reactome DB_ID: 434214	cytoplasmic vesicle membrane	
