PhysicalEntity1	E-box (DNA)	nucleoplasm	Reactome DB_ID: 549373	NA	
Protein1	p-CLOCK/p-NPAS2	nucleoplasm	Reactome DB_ID: 421319	Protein2	
Protein1	p-CLOCK/p-NPAS2	nucleoplasm	Reactome DB_ID: 421319	Protein3	
Protein11	p-S-PER1,2	nucleoplasm	Reactome DB_ID: 400230	Protein12	
Protein11	p-S-PER1,2	nucleoplasm	Reactome DB_ID: 400230	Protein13	
Protein5	p-CRY1/2	nucleoplasm	Reactome DB_ID: 400237	Protein6	
Protein5	p-CRY1/2	nucleoplasm	Reactome DB_ID: 400237	Protein7	
Protein8	CSNK1E/CSNK1D	nucleoplasm	Reactome DB_ID: 421304	Protein9	
Protein8	CSNK1E/CSNK1D	nucleoplasm	Reactome DB_ID: 421304	Protein10	
