PhysicalEntity1	BAP31 oligomer	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983323	NA	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein44	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein45	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein46	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein47	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein48	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein49	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein50	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein51	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein52	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein53	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein54	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein55	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein56	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein57	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein58	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein59	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein60	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein61	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein62	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein63	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein64	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein65	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein66	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein67	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein68	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein69	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein70	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein71	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein72	
Protein1	Class I MHC heavy chain (MHC HC)	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983117	Protein73	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein106	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein107	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein108	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein109	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein110	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein111	
