PhysicalEntity1	Sodium dependent Serotonin transporter	plasma membrane	Reactome DB_ID: 380618	NA	
Protein1	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein2	
Protein1	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein3	
Protein1	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein4	
Protein11	GLYT	plasma membrane	Reactome DB_ID: 444088	Protein12	
Protein11	GLYT	plasma membrane	Reactome DB_ID: 444088	Protein13	
Protein18	VMAT1/2	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 444147	Protein19	
Protein18	VMAT1/2	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 444147	Protein20	
Protein25	Urea transporters	plasma membrane	Reactome DB_ID: 444114	Protein26	
Protein25	Urea transporters	plasma membrane	Reactome DB_ID: 444114	Protein27	
Protein31	CTL1-5	plasma membrane	Reactome DB_ID: 444452	Protein32	
Protein31	CTL1-5	plasma membrane	Reactome DB_ID: 444452	Protein33	
Protein31	CTL1-5	plasma membrane	Reactome DB_ID: 444452	Protein34	
Protein31	CTL1-5	plasma membrane	Reactome DB_ID: 444452	Protein35	
Protein31	CTL1-5	plasma membrane	Reactome DB_ID: 444452	Protein36	
Protein6	OCT2	plasma membrane	Reactome DB_ID: 2901780	Protein7	
Protein6	OCT2	plasma membrane	Reactome DB_ID: 2901780	Protein8	
SmallMolecule11	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule6	
SmallMolecule11	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule12	
SmallMolecule11	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule13	
SmallMolecule11	ligands of SLC6A12 (BGT-1)	cytosol	Reactome DB_ID: 351982	SmallMolecule14	
SmallMolecule23	ligands of SLC6A6	extracellular region	Reactome DB_ID: 352024	SmallMolecule8	
SmallMolecule23	ligands of SLC6A6	extracellular region	Reactome DB_ID: 352024	SmallMolecule24	
SmallMolecule25	ligands of SLC6A6	cytosol	Reactome DB_ID: 352019	SmallMolecule12	
SmallMolecule25	ligands of SLC6A6	cytosol	Reactome DB_ID: 352019	SmallMolecule26	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule30	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule31	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule32	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule33	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule34	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule35	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule36	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule37	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule38	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule39	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule8	
SmallMolecule29	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule21	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule41	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule42	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule43	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule44	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule45	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule46	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule47	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule48	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule49	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule50	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule12	
SmallMolecule40	ligands of SLC6A14	cytosol	Reactome DB_ID: 375459	SmallMolecule22	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule30	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule52	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule53	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule33	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule34	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule36	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule27	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule54	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule37	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule38	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule39	
SmallMolecule51	ligands of SLC6A15	extracellular region	Reactome DB_ID: 352051	SmallMolecule55	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule41	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule57	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule58	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule44	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule45	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule47	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule28	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule59	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule48	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule49	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule50	
SmallMolecule56	ligands of SLC6A15	cytosol	Reactome DB_ID: 352048	SmallMolecule60	
SmallMolecule61	Biogenic amines transported by VMAT1/2	cytosol	Reactome DB_ID: 444154	SmallMolecule62	
SmallMolecule61	Biogenic amines transported by VMAT1/2	cytosol	Reactome DB_ID: 444154	SmallMolecule18	
SmallMolecule61	Biogenic amines transported by VMAT1/2	cytosol	Reactome DB_ID: 444154	SmallMolecule63	
SmallMolecule61	Biogenic amines transported by VMAT1/2	cytosol	Reactome DB_ID: 444154	SmallMolecule16	
SmallMolecule61	Biogenic amines transported by VMAT1/2	cytosol	Reactome DB_ID: 444154	SmallMolecule20	
SmallMolecule64	Biogenic amines transported by VMAT1/2	clathrin-sculpted monoamine transport vesicle lumen	Reactome DB_ID: 444152	SmallMolecule65	
SmallMolecule64	Biogenic amines transported by VMAT1/2	clathrin-sculpted monoamine transport vesicle lumen	Reactome DB_ID: 444152	SmallMolecule66	
SmallMolecule64	Biogenic amines transported by VMAT1/2	clathrin-sculpted monoamine transport vesicle lumen	Reactome DB_ID: 444152	SmallMolecule67	
SmallMolecule64	Biogenic amines transported by VMAT1/2	clathrin-sculpted monoamine transport vesicle lumen	Reactome DB_ID: 444152	SmallMolecule68	
SmallMolecule64	Biogenic amines transported by VMAT1/2	clathrin-sculpted monoamine transport vesicle lumen	Reactome DB_ID: 444152	SmallMolecule69	
SmallMolecule7	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule3	
SmallMolecule7	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule8	
SmallMolecule7	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule9	
SmallMolecule7	ligands of SLC6A12 (BGT-1)	extracellular region	Reactome DB_ID: 352007	SmallMolecule10	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule21	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule30	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule53	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule33	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule34	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule36	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule71	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule72	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule73	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule37	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule38	
SmallMolecule70	ligands of SLC6A19	extracellular region	Reactome DB_ID: 375458	SmallMolecule39	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule22	
