PathwayStep1	BiochemicalReaction1	
PathwayStep10	TemplateReaction7	
PathwayStep10	TemplateReactionRegulation9	
PathwayStep11	TemplateReaction8	
PathwayStep11	TemplateReactionRegulation10	
PathwayStep11	TemplateReactionRegulation11	
PathwayStep12	Pathway2	
PathwayStep2	BiochemicalReaction2	
PathwayStep3	BiochemicalReaction3	
PathwayStep3	Catalysis1	
PathwayStep4	TemplateReaction1	
PathwayStep4	TemplateReactionRegulation1	
PathwayStep5	TemplateReaction2	
PathwayStep5	TemplateReactionRegulation2	
PathwayStep6	TemplateReaction3	
PathwayStep6	TemplateReactionRegulation3	
PathwayStep7	TemplateReaction4	
PathwayStep7	TemplateReactionRegulation4	
PathwayStep8	TemplateReaction5	
PathwayStep8	TemplateReactionRegulation5	
PathwayStep8	TemplateReactionRegulation6	
PathwayStep8	TemplateReactionRegulation7	
PathwayStep9	TemplateReaction6	
PathwayStep9	TemplateReactionRegulation8	
