BiochemicalReaction15	SLC5A6 cotransports extracellular PanK and 2Na+ to cytosol	SmallMolecule3	SmallMolecule32	
BiochemicalReaction16	PANK2 phosphorylates PanK	SmallMolecule18	SmallMolecule23	
BiochemicalReaction16	PANK2 phosphorylates PanK	SmallMolecule32	SmallMolecule23	
BiochemicalReaction16	PANK2 phosphorylates PanK	SmallMolecule32	SmallMolecule33	
BiochemicalReaction16	PANK2 phosphorylates PanK	SmallMolecule18	SmallMolecule33	
BiochemicalReaction17	PANK1/3/4 phosphorylate PanK	SmallMolecule18	SmallMolecule23	
BiochemicalReaction17	PANK1/3/4 phosphorylate PanK	SmallMolecule32	SmallMolecule23	
BiochemicalReaction17	PANK1/3/4 phosphorylate PanK	SmallMolecule32	SmallMolecule33	
BiochemicalReaction17	PANK1/3/4 phosphorylate PanK	SmallMolecule18	SmallMolecule33	
BiochemicalReaction18	2xPPCS ligates PPanK with Cys	SmallMolecule33	SmallMolecule20	
BiochemicalReaction18	2xPPCS ligates PPanK with Cys	SmallMolecule34	SmallMolecule20	
BiochemicalReaction18	2xPPCS ligates PPanK with Cys	SmallMolecule18	SmallMolecule20	
BiochemicalReaction18	2xPPCS ligates PPanK with Cys	SmallMolecule18	SmallMolecule30	
BiochemicalReaction18	2xPPCS ligates PPanK with Cys	SmallMolecule34	SmallMolecule30	
BiochemicalReaction18	2xPPCS ligates PPanK with Cys	SmallMolecule33	SmallMolecule30	
BiochemicalReaction18	2xPPCS ligates PPanK with Cys	SmallMolecule18	SmallMolecule35	
BiochemicalReaction18	2xPPCS ligates PPanK with Cys	SmallMolecule34	SmallMolecule35	
BiochemicalReaction18	2xPPCS ligates PPanK with Cys	SmallMolecule33	SmallMolecule35	
BiochemicalReaction19	3xPPCDC:3FMN decarboxylates PPC	SmallMolecule35	SmallMolecule36	
BiochemicalReaction19	3xPPCDC:3FMN decarboxylates PPC	SmallMolecule35	SmallMolecule37	
BiochemicalReaction2	Ascorbate transport across the plasma membrane	SmallMolecule3	SmallMolecule5	
BiochemicalReaction2	Ascorbate transport across the plasma membrane	SmallMolecule4	SmallMolecule5	
BiochemicalReaction2	Ascorbate transport across the plasma membrane	SmallMolecule4	SmallMolecule6	
BiochemicalReaction2	Ascorbate transport across the plasma membrane	SmallMolecule3	SmallMolecule6	
BiochemicalReaction20	Adenylation of phosphopantetheine	SmallMolecule36	SmallMolecule38	
BiochemicalReaction20	Adenylation of phosphopantetheine	SmallMolecule18	SmallMolecule38	
BiochemicalReaction20	Adenylation of phosphopantetheine	SmallMolecule18	SmallMolecule30	
BiochemicalReaction20	Adenylation of phosphopantetheine	SmallMolecule36	SmallMolecule30	
BiochemicalReaction21	COASY phosphorylates DP-CoA	SmallMolecule38	SmallMolecule23	
BiochemicalReaction21	COASY phosphorylates DP-CoA	SmallMolecule18	SmallMolecule23	
BiochemicalReaction21	COASY phosphorylates DP-CoA	SmallMolecule18	SmallMolecule39	
BiochemicalReaction21	COASY phosphorylates DP-CoA	SmallMolecule38	SmallMolecule39	
BiochemicalReaction22	CoA transport across the inner mitochondrial membrane	SmallMolecule39	SmallMolecule40	
BiochemicalReaction23	Phosphopantetheine conjugation of the ACP domain of FAS	Protein31	Protein32	
BiochemicalReaction23	Phosphopantetheine conjugation of the ACP domain of FAS	SmallMolecule39	Protein32	
BiochemicalReaction23	Phosphopantetheine conjugation of the ACP domain of FAS	SmallMolecule39	SmallMolecule41	
BiochemicalReaction23	Phosphopantetheine conjugation of the ACP domain of FAS	Protein31	SmallMolecule41	
BiochemicalReaction24	2xPDXK:2xZn2+ phosphorylates PXL	SmallMolecule42	SmallMolecule23	
BiochemicalReaction24	2xPDXK:2xZn2+ phosphorylates PXL	SmallMolecule18	SmallMolecule23	
