BiochemicalReaction5	Autoglucosylation of GYG2 complexed with GYS2-a	SmallMolecule6	Complex10	
BiochemicalReaction5	Autoglucosylation of GYG2 complexed with GYS2-a	Complex9	Complex10	
BiochemicalReaction6	Autoglucosylation of GYG2 complexed with GYS2-b	Complex11	SmallMolecule7	
BiochemicalReaction6	Autoglucosylation of GYG2 complexed with GYS2-b	SmallMolecule6	SmallMolecule7	
BiochemicalReaction6	Autoglucosylation of GYG2 complexed with GYS2-b	SmallMolecule6	Complex12	
BiochemicalReaction6	Autoglucosylation of GYG2 complexed with GYS2-b	Complex11	Complex12	
BiochemicalReaction7	GYS1 catalyzes the polyglucosylation of oligoGlc-GYG1	Complex6	SmallMolecule7	
BiochemicalReaction7	GYS1 catalyzes the polyglucosylation of oligoGlc-GYG1	SmallMolecule6	SmallMolecule7	
BiochemicalReaction7	GYS1 catalyzes the polyglucosylation of oligoGlc-GYG1	SmallMolecule6	Complex13	
BiochemicalReaction7	GYS1 catalyzes the polyglucosylation of oligoGlc-GYG1	Complex6	Complex13	
BiochemicalReaction8	Phosphorylated GYS1 catalyzes the polyglucosylation of oligoGlc-GYG1	Complex8	SmallMolecule7	
BiochemicalReaction8	Phosphorylated GYS1 catalyzes the polyglucosylation of oligoGlc-GYG1	SmallMolecule6	SmallMolecule7	
BiochemicalReaction8	Phosphorylated GYS1 catalyzes the polyglucosylation of oligoGlc-GYG1	SmallMolecule6	Complex14	
BiochemicalReaction8	Phosphorylated GYS1 catalyzes the polyglucosylation of oligoGlc-GYG1	Complex8	Complex14	
BiochemicalReaction9	GYS2 catalyzes the polyglucosylation of oligoGlc-GYG2	SmallMolecule6	Complex15	
BiochemicalReaction9	GYS2 catalyzes the polyglucosylation of oligoGlc-GYG2	Complex10	Complex15	
BiochemicalReaction9	GYS2 catalyzes the polyglucosylation of oligoGlc-GYG2	Complex10	SmallMolecule7	
BiochemicalReaction9	GYS2 catalyzes the polyglucosylation of oligoGlc-GYG2	SmallMolecule6	SmallMolecule7	
