Protein1	NGF	UniProt:P01138 NGF	Reactome DB_ID: 167034	extracellular region	
Protein10	CASP3(176-277)	UniProt:P42574 CASP3	Reactome DB_ID: 141646	cytosol	
Protein11	YWHAE	UniProt:P62258 YWHAE	Reactome DB_ID: 194368	cytosol	
Protein2	NGFR	UniProt:P08138 NGFR	Reactome DB_ID: 193664	plasma membrane	
Protein3	NADE	UniProt:Q00994 NGFRAP1	Reactome DB_ID: 194333	cytosol	
Protein5	SCA-1	UniProt:P42574 CASP3	Reactome DB_ID: 57021	cytosol	
Protein6	CASP2	UniProt:P42575 CASP2	Reactome DB_ID: 622412	cytosol	
Protein7	CASP2	UniProt:P42575 CASP2	Reactome DB_ID: 2976746	cytosol	
Protein8	CASP2	UniProt:P42575 CASP2	Reactome DB_ID: 2976745	cytosol	
Protein9	CASP3	UniProt:P42574 CASP3	Reactome DB_ID: 141644	cytosol	
